gene_id	TCGA-05-4417-01A-22R-1858-07	TCGA-35-3615-01A-01R-0946-07	TCGA-44-6776-01A-11R-1858-07	TCGA-44-7671-01A-11R-2066-07	TCGA-55-7281-01A-11R-2039-07	TCGA-55-8203-01A-11R-2241-07	TCGA-55-8299-01A-11R-2287-07	TCGA-55-8615-01A-11R-2403-07	TCGA-62-A46S-01A-11R-A24H-07	TCGA-69-7980-01A-11R-2187-07	TCGA-78-7148-01A-11R-2039-07	TCGA-78-7160-01A-11R-2039-07	TCGA-78-7161-01A-11R-2039-07	TCGA-86-7713-01A-11R-2066-07	TCGA-4B-A93V-01A-11R-A39D-07	TCGA-50-5933-01A-11R-1755-07	TCGA-55-6975-01A-11R-1949-07	TCGA-55-7283-01A-11R-2039-07	TCGA-55-7911-01A-11R-2170-07	TCGA-55-7914-01A-11R-2170-07	TCGA-55-8514-01A-11R-2403-07	TCGA-69-7978-01A-11R-2187-07
C6orf167|253714	151.856	67.9012	95.546	108.704	153.846	128.602	200.623	106.952	86.9757	300.084	250.997	194.322	95.8987	266.939	110.172	215.331	443.42	106.266	231.003	87.4563	130.323	235.709
C6orf168|84553	323.408	265.757	61.7816	125.719	528.775	150.44	103.479	181.283	195.585	314.476	221.75	167.192	231.112	290.266	142.887	101.032	316.848	251.128	210.387	395.302	749.677	104.909
C6orf170|221322	35.5812	27.9402	22.9885	46.3174	53.5613	44.8893	65.8889	23.5294	28.2561	116.665	27.1204	46.0568	77.5273	54.5903	35.1203	46.4339	27.6614	49.6241	78.7631	56.4718	80.6452	77.0007
C6orf174|387104	27.747	14.7628	56.8103	43.4092	165.59	41.654	105.553	3.9412	16.3576	26.2114	34.8471	133.539	19.5178	2.6646	9.622	85.6935	71.249	49.4787	282.49	31.2794	218.045	187.29
C6orf176|90632	29.2274	15.2697	4.9713	544.725	4.5584	200.979	234.476	736.086	79.9029	0.6124	916.474	621.716	574.69	568.167	1372.56	0.5103	609.447	1.0025	0	9.4953	1.9355	0.3362
C6orf182|285753	118.816	69.2008	39.5115	77.5108	109.972	94.2271	134.312	51.8717	66.2252	88.4942	68.5988	88.3281	56.5839	62.2858	60.1376	140.833	186.924	58.1454	99.3789	60.9695	110.323	152.32
C6orf186|728464	12.7076	2.2742	5.0287	3.781	6.8376	2.022	7.6026	0.5348	1.3245	3.9807	6.3813	7.571	4.7766	0.9619	0	3.0616	5.0293	3.5088	0	0.4998	5.1613	6.7249
C6orf191|253582	0	0.9747	0	0	0	0.8088	0	0	0.883	0	0	0	0	0	0	0	0	0	0.5286	0.4998	0	0.6725
C6orf192|116843	307.523	263.483	203.305	481.134	242.165	358.305	606.093	256.15	211.921	262.727	357.884	615.142	264.548	132.508	530.654	138.281	652.138	440.601	211.973	492.754	535.484	153.329
C6orf195|154386	0.6354	0	0	0.3151	0	1.6176	0.8447	1.0695	0	1.531	0.5318	0	0	0.481	0	0	0	0	3.1717	1.999	0	2.69
